Year;Lon;Lat;VegC;LitterC;SoilC;HarvSlowC;Total;Year.1;geometry;area_km2
1922;0;71,5;0,051;0,069;0,322;0,001;0,442;1922;POLYGON ((3935691.152620404 5346786.446574682, 3954725.2495822604 5455341.061509885, 3989320.9291630746 5450217.400378127, 3972087.2929707607 5341414.177390067, 3935691.152620404 5346786.446574682));3952,8230225989682
1923;0;72,0;0,052;0,069;0,322;0,001;0,444;1923;POLYGON ((3945190.1749620847 5401085.756675614, 3964296.2497588196 5509551.233635455, 3997986.6924533085 5504553.268380421, 3980687.758002581 5395837.32800894, 3945190.1749620847 5401085.756675614));3849,8433892382486
1924;0;72,5;0,054;0,067;0,322;0,001;0,443;1924;POLYGON ((3954725.2495822604 5455341.061509885, 3973903.0495722825 5563715.145307546, 4006684.9346091375 5558843.805636302, 3989320.9291630746 5450217.400378127, 3954725.2495822604 5455341.061509885));3746,549962025551
1925;0;73,0;0,056;0,066;0,322;0,001;0,444;1925;POLYGON ((3964296.2497588196 5509551.233635455, 3983545.5239246264 5617831.668527798, 4015415.543118419 5613087.885553913, 3997986.6924533085 5504553.268380421, 3964296.2497588196 5509551.233635455));3642,951003844896
1926;0;73,5;0,058;0,066;0,322;0,001;0,447;1926;POLYGON ((3973903.0495722825 5563715.145307546, 3993223.5485586943 5671899.675093899, 4024178.4062387655 5667284.381379546, 4006684.9346091375 5558843.805636302, 3973903.0495722825 5563715.145307546));3539,0548149673514
1927;0;74,0;0,058;0,067;0,322;0,001;0,447;1927;POLYGON ((3983545.5239246264 5617831.668527798, 4002937.0000781296 5725918.036649307, 4032973.4130157754 5721432.166248232, 4015415.543118419 5613087.885553913, 3983545.5239246264 5617831.668527798));3434,869732140288
1928;0;74,5;0,059;0,067;0,322;0,001;0,449;1928;POLYGON ((3993223.5485586943 5671899.675093899, 4012685.755967878 5779885.624733262, 4041800.4533017767 5775530.1132346485, 4024178.4062387655 5667284.381379546, 3993223.5485586943 5671899.675093899));3330,4041276582984
1929;0;75,0;0,06;0,068;0,322;0,001;0,451;1929;POLYGON ((4002937.0000781296 5725918.036649307, 4022469.694615232 5833801.310830912, 4050659.417775079 5829577.095404148, 4032973.4130157754 5721432.166248232, 4002937.0000781296 5725918.036649307));3225,666408424898
1930;0;75,5;0,06;0,066;0,322;0,001;0,45;1930;POLYGON ((4012685.755967878 5779885.624733262, 4032288.695331454 5887663.966423673, 4059550.197959737 5883571.985864066, 4041800.4533017767 5775530.1132346485, 4012685.755967878 5779885.624733262));3120,665015000182
1931;0;76,0;0,061;0,067;0,322;0,001;0,451;1931;POLYGON ((4022469.694615232 5833801.310830912, 4042142.63837397 5941472.463039778, 4068472.686245848 5937513.657815205, 4050659.417775079 5829577.095404148, 4022469.694615232 5833801.310830912));3015,408420641557
